,lat,long,resort_name,continent,country,state,url,altitude,easy,medium,hard,Funicular,Circulating ropeway/gondola lift,chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,ski_resort_size,num_runs,Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
199,39.6425,105.8719,arapahoe-basin,North America,USA,Colorado,http://www.skiresort.info/ski-resort/arapahoe-basin/,3790,40,25,40,,,0,,,100,85,52,US Dollar,3,5,3,5,4,4,4,4,4,4,3,2,1,3,3,5,5,1,,,0,,,,
252,39.1823,106.8555,aspen-highlands,North America,USA,Colorado,http://www.skiresort.info/ski-resort/aspen-highlands/,3559,24.3,40.5,70.2,,,0,,,169,0,112,US Dollar,4,5,4,5,4,2,4,4,4,5,4,3,4,2,3,5,2,3,,,,,,,0
253,,,aspen-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/aspen-mountain/,3418,0,49,54,,0,0,,,169,0,112,US Dollar,3,4,4,4,5,2,4,4,4,5,3,4,4,1,1,5,1,3,,,,,,,
369,39.6042,106.5165,beaver-creek,North America,USA,Colorado,http://www.skiresort.info/ski-resort/beaver-creek/,3488,28.5,64.5,57,,0,0,,,189,0,130,US Dollar,4,5,4,5,5,4,5,4,3,5,4,4,5,5,5,5,5,3,,,0,0,,,
577,39.4817,106.0384,breckenridge,North America,USA,Colorado,http://www.skiresort.info/ski-resort/breckenridge/,3914,28,60,65,,0,0,0,0,164,0,107,US Dollar,4,5,4,5,4,3,5,4,3,5,4,4,5,5,5,5,5,3,,,0,,,,
673,,,buttermilk-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/buttermilk-mountain/,3018,11.9,13.3,8.8,,,0,,,169,0,112,US Dollar,3,4,4,4,5,3,4,4,4,5,3,2,2,4,5,2,5,3,,0,0,,,,
887,,,cooper,North America,USA,Colorado,http://www.skiresort.info/ski-resort/cooper/,3566,8,10,8,,,0,0,,52,0,32,US Dollar,2.6,3,2.5,,,,,,,,,,,,,,,,,0,,,,,0
890,39.5021,106.151,copper-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/copper-mountain/,3767,30,40,56,,,0,0,0,150,0,85,US Dollar,4.4,4.7,3.7,,,,,,,,,,,,,,,,,,0,,,,0
911,38.8697,106.9878,crested-butte,North America,USA,Colorado,http://www.skiresort.info/ski-resort/crested-butte/,3707,27,69,25,,,0,0,,115,104,63,US Dollar,4.3,4.6,3.7,,,,,,,,,,,,,,,,,,0,,,,
1089,,,echo-mountain-park-idaho-springs,North America,USA,Colorado,http://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,3401,2,1,0,,,0,,,49,0,39,US Dollar,1.5,1.5,2.9,,,,,,,,,,,,,,,,,0,0,,,,
1122,39.9372,105.5827,eldora-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/eldora-mountain/,3292,11,26,15,,,0,0,,94,0,54,US Dollar,3.1,3.4,3.2,,,,,,,,,,,,,,,,,0,,,,,
1444,,,granby-ranch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/granby-ranch/,2804,6,10,4,,,0,0,,74,0,44,US Dollar,2.4,2.7,3.5,,,,,,,,,,,,,,,,,,0,,,,
1657,,,hesperus-ski-area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/hesperus-ski-area/,2706,3,5,2,,,0,,,39,33,28,US Dollar,2,2.3,2.8,,,,,,,,,,,,,,,,,0,,,,,
1829,,,howelsen-hill-steamboat-springs,North America,USA,Colorado,http://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,2175,1.7,1.5,0.8,,,0,0,,25,0,15,US Dollar,1.5,1.8,2.5,,,,,,,,,,,,,,,,,0,0,,,,
2128,,,kendall-mountain-silverton,North America,USA,Colorado,http://www.skiresort.info/ski-resort/kendall-mountain-silverton/,3000,1,0.5,0.2,,,0,,,20,0,15,US Dollar,1.3,1.6,3,,,,,,,,,,,,,,,,,,,,,,
2138,39.5792,105.9347,keystone,North America,USA,Colorado,http://www.skiresort.info/ski-resort/keystone/,3651,25,65,45,,0,0,,0,159,0,92,US Dollar,4,5,4,5,5,3,4,4,4,5,4,4,4,5,4,4,5,3,,0,,,,,0
2428,,,lake-city-ski-hill,North America,USA,Colorado,http://www.skiresort.info/ski-resort/lake-city-ski-hill/,2771,0.7,0.3,0,,,,0,,15,0,7,US Dollar,1.3,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,
2649,40.3978,105.075,loveland,North America,USA,Colorado,http://www.skiresort.info/ski-resort/loveland/,3871,12,38,43,,,0,0,,75,0,32,US Dollar,3,4,3,5,3,5,2,3,2,4,2,1,1,3,4,4,4,1,,,0,,,,
2899,38.5122,106.3322,monarch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/monarch/,3630,5,14,12,,,0,,,74,45,30,US Dollar,2.7,3,3,,,,,,,,,,,,,,,,,,0,,,,
3712,,,powderhorn,North America,USA,Colorado,http://www.skiresort.info/ski-resort/powderhorn/,3000,5,15,18,,,0,,,71,60,35,US Dollar,2.9,3.2,3.6,,,,,,,,,,,,,,,,,,0,,,,
3767,,,purgatory-durango,North America,USA,Colorado,http://www.skiresort.info/ski-resort/purgatory-durango/,3299,15,40,30,,,0,,,89,70,55,US Dollar,3.8,4.1,3.6,,,,,,,,,,,,,,,,,0,0,,,,0
4306,,,silverton-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/silverton-mountain/,3790,,,,,,0,,,59,0,0,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,0
4397,,,snoebahn-centennial,North America,USA,Colorado,http://www.skiresort.info/ski-resort/snoebahn-centennial/,1710,0.1,0,0,,,,,,40,0,35,US Dollar,,,,,,,,,,,,,,,,,,,,,0,,,,
4442,39.209,106.9499,snowmass,North America,USA,Colorado,http://www.skiresort.info/ski-resort/snowmass/,3813,14.2,111,111,,0,0,0,0,169,0,112,US Dollar,5,5,4,5,5,2,4,4,4,5,4,4,5,5,4,5,5,3,,,,,,,
4558,,,stagecoach,North America,USA,Colorado,http://www.skiresort.info/ski-resort/stagecoach/,2867,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
4572,,,steamboat,North America,USA,Colorado,http://www.skiresort.info/ski-resort/steamboat/,3221,25,95,45,,0,0,0,,165,135,105,US Dollar,4.8,5,3.9,,,,,,,,,,,,,,,,,,,,,,
4686,,,sunlight-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/sunlight-mountain/,3015,4,11,5,,,0,,,63,0,45,US Dollar,2.5,2.8,3,,,,,,,,,,,,,,,,,,0,,,,
4801,,,telluride,North America,USA,Colorado,http://www.skiresort.info/ski-resort/telluride/,3815,6.7,51.7,29.8,,0,0,0,,133,0,79,US Dollar,4,5,4,5,5,3,4,5,4,5,5,4,5,4,5,5,5,4,,,0,0,,0,
5030,,,vail,North America,USA,Colorado,http://www.skiresort.info/ski-resort/vail/,3433,57,84,93,,0,0,0,0,169,0,117,US Dollar,5,5,4,5,5,4,5,4,4,5,4,4,5,5,4,5,5,3,,,0,,,,
5288,,,winter-park-resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/winter-park-resort/,3676,11,53,79,,0,0,0,0,159,0,99,US Dollar,4,5,4,5,4,3,4,4,4,5,4,3,4,4,5,5,5,2,,0,,,,,
5309,,,wolf-creek,North America,USA,Colorado,http://www.skiresort.info/ski-resort/wolf-creek/,3628,20,35,45,,,0,,0,70,0,36,US Dollar,3.9,4.2,3.4,,,,,,,,,,,,,,,,,,0,,,,
